L,beta,m,δm,E,δE,χ,δχ,C,δC
64,0.45,0.4828757421875,0.008832754400748056,-5767.14144,7.352971384710694,67.39456260059421,0.5406569308368397,1.6632356865189308,0.014446687835529394
64,0.4407,0.3041305908203125,0.0060434222767884495,-5441.9515,5.530536259963265,57.48637641132679,0.40350297206508196,1.365789097618409,0.014554064853037934
64,0.43,0.1971107666015625,0.003151579620171162,-5116.6589,4.715257374248271,29.448748678576177,0.25962086418205443,1.2871261093435866,0.013494803651718974
32,0.45,0.43794677734375,0.004883287483108322,-1361.9005,1.8545627125598074,20.784075168563415,0.15116337113868844,1.3698114921482312,0.013142909797184963
32,0.4407,0.35040556640625,0.0038250874480487704,-1299.8901,1.5036075914252194,17.506122897550064,0.12404689124202382,1.2144021037334058,0.011888062085345168
32,0.43,0.2691234375,0.002930087347780239,-1230.5905,1.1342384049228342,13.033371407265397,0.10296279080385484,1.0681630375539541,0.010743529928521433
