L,beta,m,δm,E,δE,χ,δχ,C,δC
32,0.43,0.27612744140625,0.0029784610310282927,-1234.4327,2.3764233022893166,13.167607133459876,0.10658863870177648,1.057624013260183,0.010786178146785355
32,0.4407,0.35164404296875,0.003835344607494959,-1297.1395,2.7029095956586837,17.25414651901297,0.12110571143259502,1.2165177705990475,0.012012392196299536
32,0.45,0.4329728515625,0.004251107002090492,-1358.7571,2.3729651022259484,19.965308767915634,0.149034402217487,1.3125478826398875,0.012992194699999762
64,0.43,0.1966242919921875,0.0025893920303722614,-5114.5604,8.943254896158576,31.165811065299657,0.27908742361585737,1.2761248652025212,0.013486800117250243
64,0.4407,0.31505986328125,0.0036325508180112534,-5445.2429,6.105080599050998,58.40487815717736,0.41144886684429455,1.4705123592361307,0.015624811979400938
64,0.45,0.4828129150390625,0.0036168713789774994,-5756.4365,4.697053859855038,66.39144770861022,0.6069387581724094,1.666719093618641,0.016390268168836934
