beta,m,δm,E,δE,χ,δχ,C,δC
0.4,0.15528125,0.00258621150421746,-1071.1078,3.09338410949109,5.061126225612807,0.17527928614595092,0.7382077239702456,0.04523331963248886
0.4407,0.34478828125,0.0037826156540057315,-1299.7505,2.6716407673899543,17.625058979993565,0.32526844894169044,1.1615150719894136,0.05162143099171138
0.46,0.53912021484375,0.003317525941733151,-1426.3439,2.04032761999119,20.135053513378345,0.4299875947192423,1.3659563274087376,0.04620575289663787
0.5,0.81753017578125,0.001271675040821473,-1643.2759,0.9459946748635162,3.954042197111298,0.22172322353342847,0.9666126299869354,0.02034428951782939
